session_id,x_m,y_m,zone_id,zone_name,n_visible,rssi_A1,rssi_A2,rssi_A3
0,8.784968610610315,3.370933403374188,2,Z0_2,3,-82.93792886225496,-69.86214242405379,-74.4763160503113
0,8.86274780415321,3.0275364731303096,2,Z0_2,3,-75.62845882437574,-67.92050153884067,-76.75537986649914
0,8.494261567798684,2.9594435186899153,2,Z0_2,3,-74.89230847817868,-70.51969785843805,-75.16905256471814
0,8.535534828958284,3.3525256189907036,2,Z0_2,3,-72.3158565169616,-71.93156218986405,-74.78385396995692
0,8.10151918126203,3.2700774974215796,2,Z0_2,3,-76.24274043730013,-69.22313588291597,-71.26498672296195
0,8.473388040934932,3.3572203752163987,2,Z0_2,3,-77.99968913706344,-68.81040928658423,-72.96000068898358
0,8.076350775505652,3.2933325903920645,2,Z0_2,3,-78.99834937677771,-67.05630294833873,-75.4189056024093
0,8.092626082016153,3.0019548235279925,2,Z0_2,3,-75.95027673539906,-68.6709045160441,-74.44353996232802
0,7.979297360615805,2.5600095949278314,1,Z0_1,3,-76.30528007112723,-70.26454578730825,-72.03687389448609
0,7.948362706643781,2.2556871186835727,1,Z0_1,3,-79.66071694909513,-71.49613494369213,-75.76556639192265
0,7.9964373725343725,1.9503402362865672,1,Z0_1,3,-75.67847601868309,-70.25926830829209,-76.43547918304789
0,7.864167411298932,2.200615553526419,1,Z0_1,2,-105.0,-73.28968690700705,-75.79185251965481
0,7.843623655512169,1.7556133480353608,1,Z0_1,3,-78.45127939398495,-67.72744928012993,-80.57189714792561
0,7.3490178700733235,1.7628262988067478,1,Z0_1,3,-78.316492041971,-70.8791105017524,-75.06147495065456
0,7.3710175384705,1.5487450563307914,1,Z0_1,2,-74.22256962751732,-70.35265552213824,-105.0
0,6.982036558154924,1.4110764415751604,1,Z0_1,3,-74.20773266207647,-73.00454440703922,-79.99890206562588
0,6.923422804755657,1.4525173849027602,1,Z0_1,3,-78.99301404110885,-78.88114875434007,-74.69754483986189
0,6.559343716114019,1.5591154079815246,1,Z0_1,3,-74.96744978736002,-73.79488106483822,-78.34191448614045
0,7.086136707472007,1.5721428601288132,1,Z0_1,3,-73.34933195650059,-73.6362236349438,-78.90421442098116
0,7.003998039549568,2.005991780502448,1,Z0_1,2,-78.96674263580101,-69.73460989161825,-105.0
