session_id,x_m,y_m,zone_id,zone_name,n_visible,rssi_A1,rssi_A2,rssi_A3,rssi_A4,rssi_A5,rssi_A6
0,8.784968610610315,3.370933403374188,2,Z0_2,5,-105.0,-71.00655883810697,-71.19439141058638,-79.59746060152631,-76.0867200560013,-70.19006081530043
0,8.689080350527416,3.108778433504915,2,Z0_2,6,-78.98546962813371,-71.29568102032721,-71.94007863900558,-75.91090951484249,-74.3105033091666,-74.71006892852427
0,8.287856077620262,3.027401160680127,2,Z0_2,6,-76.48535541748235,-66.28927190545558,-70.99540706703003,-81.7404917257019,-76.0214549722762,-72.05565411129933
0,8.299524658534335,2.6992700203530284,2,Z0_2,6,-75.63031155890643,-68.3667728861629,-68.04852507248707,-79.2132567664397,-73.27179414374174,-72.63188621273135
0,8.046352493993483,2.5309830431914477,2,Z0_2,6,-78.88023181325435,-67.47685935581384,-68.72606891514026,-77.13661377168042,-71.83395948688343,-76.0822345477187
0,8.09606856839886,2.895225616798504,2,Z0_2,6,-75.98010180024656,-70.2070115468826,-70.40519684301229,-77.22452981021748,-74.52734113649826,-73.06059818846177
0,8.14414323428945,2.5898787344014984,2,Z0_2,3,-76.02167037898587,-105.0,-105.0,-79.56841845891941,-79.25357783766242,-105.0
0,8.108516837183307,3.013630291248207,2,Z0_2,6,-80.90872238977872,-69.84023007575729,-73.8836270520955,-80.06254181253406,-70.87022824009696,-79.41414863980084
0,8.110702051735652,3.5238081803802985,2,Z0_2,5,-79.02696183482394,-73.44905418633748,-71.30839639212635,-78.10583623983426,-105.0,-70.90807476530843
0,7.6230334369800214,3.5873232750617388,1,Z0_1,5,-78.4084337126705,-105.0,-75.88071191397452,-77.24762236742407,-69.18783128707236,-67.99924259796498
0,7.56182375707404,3.9232441864201,1,Z0_1,5,-74.64147335758373,-69.97750276782607,-73.87396439221199,-81.03089309906107,-75.85736105773387,-105.0
0,7.4433293804323375,4.176732510196863,4,Z1_1,5,-80.01557689218882,-64.55468242944197,-76.3891776356999,-105.0,-72.73452776442006,-70.6626288800255
0,6.965535623000376,4.193991301969075,4,Z1_1,5,-72.53111939743044,-70.03311966995113,-75.00773912241007,-76.16165142944922,-65.47452980733513,-105.0
0,6.478719703075809,4.3590840951922,4,Z1_1,5,-71.60443206942801,-105.0,-76.66504336934902,-71.86469891289593,-71.75418874375595,-77.50229791216573
0,6.193113582403495,4.154066885089097,4,Z1_1,5,-76.38558953787201,-72.52272566662536,-79.36794605964542,-105.0,-70.01725947977889,-72.68883379968331
0,6.643389364933955,4.20787842878949,4,Z1_1,4,-72.85925591774753,-70.78871778484672,-77.21856595497752,-105.0,-68.33022194352208,-105.0
